user_id,first_name,last_name,age,gender,strikes
7da9b4e0-92c6-4a74-b218-952e316089d9,Nicholas,Barnes,23,M,2
42940424-3c51-4a66-8320-3777121fb576,Tiffany,Banks,24,M,1
c775ba9e-2d6a-4fbd-835c-ed9090fc83f6,Megan,Santos,26,M,0
90077055-89a3-489e-b0e0-fa849a682583,Jennifer,Peters,89,F,3
4f436d03-b2cc-4518-95f9-e4ea2f8026f8,Billy,Evans,44,F,1
5545af78-3b34-404b-b1a3-1001583dea64,Matthew,Strickland,70,F,2
60822cb8-d303-4541-985c-0bb385f0cbd3,Craig,Estes,32,F,2
6e30e620-a17b-49fd-b4f7-abe587aa3971,Christopher,Howard,30,F,1
29019078-dbf9-4444-a0a0-95e6e30bf7de,Danielle,Cohen,21,F,3
98eba0bb-29e6-4fad-b01d-8fb1a04d9fa5,Brian,Fleming,89,M,2
57944aea-dda6-45c1-b86c-b0e558965600,Erin,Bowen,40,M,0
57a95908-4b60-4cce-a56a-6e2483351b52,John,Ryan,22,F,1
c81665c3-da5d-4a8e-9c84-4e1b86d58ace,Seth,Watson,20,M,1
77e5a761-8861-4a9a-aad3-57538f0afc26,Loretta,Patel,78,F,1
d8b03e33-a54d-4cfb-8f3f-44b97c0e8aba,Daniel,Ortiz,26,M,0
993044f0-209a-459c-baf0-cbab2f3e793d,Jennifer,Johnson,60,M,0
6a55a1eb-53e3-4505-ab9c-52191d5ea1a2,Kimberly,Johnson,22,M,1
58d7a411-e3e4-4b26-8834-8f48efde2830,Aaron,Rogers,78,M,0
acdebf46-69c1-45a2-9cc7-3f7862678b5f,Richard,Castillo,59,M,2
36959e3d-93ee-45b6-a3ae-e7af276e234b,Brenda,Dickerson,26,F,3
19ad97c1-c73f-4a14-b9ed-7c2435c790f3,Brett,Richards,79,M,1
1b4e47d6-ba8c-4ec9-9cc7-26ef9ea9bb38,Adam,Willis,29,M,2
8519fab4-46ff-4c5a-b0a7-8b1ee844be12,James,Friedman,64,F,0
e53adbe8-eb63-4300-8ea8-f523b66f7437,Alex,Garcia,65,F,2
da6c37d7-3938-41c7-861c-f13e62e1cdc1,Heather,Blake,30,F,0
93214e31-32ef-4ac3-b2cb-9d23a17245d7,Jesus,Simmons,44,M,1
166a4fe6-e86b-4be5-8659-cb3375366778,Haley,Rojas,25,F,0
218be10c-60cd-416e-8c81-974d0167b205,Denise,Rhodes,39,M,2
f52c639b-c175-4788-9370-3f9862c4b76c,Peter,Sullivan,23,F,0
fc723b20-3383-4caf-9154-23632a1d876a,James,Morris,57,F,0
da861540-0958-4ca8-a7c1-bac0a91c727f,Mary,Grimes,90,M,2
95984485-9e4f-4347-873b-3f04cdb711d4,Stacy,Pruitt,27,F,0
16410252-b49c-430b-b61b-b4c6a00a685f,Amy,Pratt,27,M,3
a35a876a-4b55-4732-8814-586e73893fe9,Amanda,Crane,19,M,2
17528a84-2862-46a0-8f9f-d1fe19227987,Jessica,Gordon,82,F,3
0baf4195-0a52-4731-bdc0-a49e13fa17cc,Logan,Miller,82,M,3
984a4e67-6975-4c40-b968-d4e064a4e722,Jessica,Cameron,56,M,2
