user_id,first_name,last_name,age,gender,strikes
29a6cd80-abaf-4964-a787-d05e245081b4,Tiffany,Adams,73,F,0
c3513768-65a1-4bf6-804a-9660bc1a13c6,Anne,Perez,60,M,0
c2be02c3-2dcb-45f8-9eb4-108524850040,Joshua,Lewis,29,M,1
229e2fe4-f6a8-41ab-8129-56a94510afd2,Jennifer,Flynn,68,M,3
dec6821f-6924-4e69-be14-e393df8d90fa,Donald,Crane,38,M,1
7655ef1f-6d1d-4cd5-aaee-0b005f95c4aa,Carol,Greene,34,F,2
d5a2eae8-7090-419a-b3b9-0d8b15149c7f,Jacqueline,Beltran,51,M,3
8bfdfa68-c988-4115-8ad6-d5c8f9d1d7a6,David,Snyder,55,F,1
e596255b-3e0c-41d9-a7e1-7321b1a2daf9,Rhonda,Molina,84,F,2
a53b58b6-1d0c-4457-9ebb-786160191627,Cynthia,Gonzalez,72,M,0
274e564c-6c57-40dd-8272-3683ab85e593,Vanessa,Ryan,53,M,1
e37618a1-e997-4b75-981f-f17b9d5d0256,Susan,Forbes,37,F,1
96a9ebcb-31e4-4b9c-82d3-3507e3ef7724,Jennifer,Weaver,67,F,0
69d2959d-3eaf-4f73-bbea-4d4f65f0cb01,Timothy,Webb,86,M,1
858977c5-1e08-4381-bf2f-de36a37fbb00,Maria,Clay,26,M,1
0343e9d8-aaaa-4bbe-ae1d-b1152f917357,Michael,Shannon,70,F,1
751ca002-c8ed-497e-be6e-ac16461dde78,Richard,Long,54,M,3
65638dfa-19f2-4ab3-9140-ee3950569832,Julie,Gomez,47,F,0
b9560145-5322-40c6-b08f-8a30e2d60945,Maria,Stanton,71,M,2
95d0bb50-cb3d-4a8e-9f19-bdbf75c29288,Stephen,Davies,54,F,2
b6737cfc-457b-4478-93d4-15439ee65568,Catherine,Hill,81,F,1
2ee78923-5947-435e-bbe8-72e56ee7380a,Amber,Luna,19,F,0
c3fbe026-605d-4cd1-a0a8-f7dc87b4b745,Christina,Dominguez,44,F,3
e4321fd5-c0a7-43ea-b260-573a19f0b0c4,Brian,Collins,50,M,0
